sample_id,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,ee_x_m,ee_y_m,ee_z_m,ee_zaxis_x,ee_zaxis_y,ee_zaxis_z,camera_x_m,camera_y_m,camera_z_m,camera_zaxis_x,camera_zaxis_y,camera_zaxis_z
1,-0.797955318517004,2.73904595116225,-1.16231404375226,-0.699390377578137,-0.511964766868275,2.20528706797096,0.322070373596157,-0.242440099093735,-0.200690175292484,0.536079984073884,-0.0980154805762216,-0.838457641293081,0.276172924853172,-0.275068076221818,-0.184477855673923,0.536079984073884,-0.0980154805762216,-0.838457641293081
2,1.54916660421616,1.55248470451307,-1.12815325931137,-1.50076884900512,0.141550101751204,0.754792401438723,0.0363980985579336,0.444114686457396,0.279224853711262,0.160846687017985,0.927753154243734,-0.336752769945759,-0.00043557973336715,0.428289239748196,0.321966348537569,0.160846687017985,0.927753154243734,-0.336752769945759
3,-0.00895467766839486,0.325496375512392,-1.31169440296027,-1.47338436909431,0.754615697534229,0.535090561531585,-0.0815470940825215,-0.129351401949346,0.587312607067756,0.400014136991783,-0.68537308172644,0.608483713053621,-0.105572198198107,-0.0782879694700349,0.603102484700787,0.400014136991783,-0.68537308172644,0.608483713053621
4,0.900157137109159,1.98606285733942,-1.0488744869413,1.49664319523239,-0.709430993274831,-0.141835830172682,0.362094460156048,0.256962368246078,0.0951770735994129,0.842689940554574,0.0169972505358773,-0.538130799678246,0.351676919355411,0.224560350388749,0.142880156124973,0.842689940554574,0.0169972505358773,-0.538130799678246
5,1.61354276939684,1.56141872475058,-0.711565005327045,-1.05563675361766,0.420802037689474,2.34232927629976,0.0534131919809128,0.323782407777333,0.100396335757299,0.332896538951998,0.535639255604843,-0.77606087532414,0.0843341308966322,0.307250927878022,0.147349564708129,0.332896538951998,0.535639255604843,-0.77606087532414
6,-1.58969315183775,1.36679963437264,-2.46056296507981,-0.904379143837497,0.364866203806208,2.09884127702508,-0.0555838330942941,-0.152402580131144,0.795428234194741,-0.290990739004712,-0.553614445095597,0.780279075712649,-0.0874975593729233,-0.112146904294152,0.767232584921852,-0.290990739004712,-0.553614445095597,0.780279075712649
7,0.900556336864595,0.206307993723444,-1.31853049118914,-0.55461121679234,-0.359897065400182,2.56230935936749,-0.14605444747076,-0.125291026552133,0.637906465229631,-0.107686475236206,0.162720515971346,0.9807780874047,-0.0965589071348472,-0.139717507901458,0.610048465970288,-0.107686475236206,0.162720515971346,0.9807780874047
8,1.18048169458837,1.10066987229434,-1.02607506901093,-0.278496470207224,0.167993555896162,2.59709698793935,0.134812441699025,0.308175369998768,0.385277480808037,0.418379119324751,0.896087321007162,-0.148278203533942,0.149486969623546,0.257911620282947,0.358967526518876,0.418379119324751,0.896087321007162,-0.148278203533942
9,0.54592319495949,0.582533135069557,-0.527415535944987,0.745803087307666,-0.858973743991692,-1.91404109323337,0.178749227196854,-0.00501367555928169,0.444174932643929,0.809469308134422,-0.109409088278203,0.57687874860365,0.13951279254861,0.0384329928668677,0.446799660965558,0.809469308134422,-0.109409088278203,0.57687874860365
10,-0.956568711656835,1.35404397230982,-1.27952968248693,-0.741638904047141,0.720191553778862,1.654819330211,0.140100089407009,-0.344495228594384,0.339295544357813,0.0726611048385683,-0.87605485335605,-0.476705630085223,0.105983277668444,-0.332458064158402,0.385394891740791,0.0726611048385683,-0.87605485335605,-0.476705630085223
11,-1.06618995742209,1.8969523752044,-2.31565592813433,0.560470705663048,-0.335117071120084,0.957989150168497,0.193426860509111,-0.416810823787236,0.657800207457194,0.181059778999047,-0.689442533647101,0.70134609803369,0.142666237825279,-0.407675150240468,0.629981173440956,0.181059778999047,-0.689442533647101,0.70134609803369
12,-0.964617718783556,2.0798894348518,-1.60634463519838,-0.356739875796408,-0.64350859124682,1.2689887743556,0.36765108995572,-0.457763724167904,0.323958331429724,0.715080935265907,-0.663723071665547,0.219387648143845,0.312460849977905,-0.457980843490905,0.343655800058733,0.715080935265907,-0.663723071665547,0.219387648143845
13,1.50469457821381,2.77520884722673,-1.31422654386953,-1.01189069302316,0.225970392917482,-1.70588557760862,0.0591526185637621,0.355589832983081,-0.231041994663422,0.194455084995753,0.0615849972980533,-0.978976255088495,0.0301361045356476,0.312605843559348,-0.20375795964518,0.194455084995753,0.0615849972980533,-0.978976255088495
14,-0.422266028739515,2.5677894250009,-1.52063976978092,1.4036517311489,-0.278721330587231,1.1204884785037,0.461606309024835,-0.26395092250019,-0.0845760407248304,0.426040366814333,-0.488844128306842,-0.761262782529549,0.404185759189201,-0.256720097964736,-0.0753784522848614,0.426040366814333,-0.488844128306842,-0.761262782529549
15,0.417638434792404,0.442047721674491,-1.56114361599293,1.40051784946568,-0.976011160104922,-0.655363269988211,-0.0862226145350248,-0.20856684779456,0.622444781096229,0.393769051535023,-0.718314850707465,0.573558810677964,-0.130812923523236,-0.214298551381579,0.584856858590105,0.393769051535023,-0.718314850707465,0.573558810677964
16,-1.22220751572657,0.800787123212821,-1.69531168431371,1.39852060533415,0.00548636853660467,1.71389914006887,0.0180492016724725,-0.0459253644782754,0.726779517221646,0.195099758214575,-0.521013021818337,0.830952173978948,0.0232676956071406,-0.0648529578743769,0.67156617164935,0.195099758214575,-0.521013021818337,0.830952173978948
17,-0.705578063958519,1.45323677572665,-0.253553070808461,-1.21027401858952,-0.943605298775698,1.16477230869352,0.264124616091641,-0.0342513746102532,0.115881864618082,0.883960978522365,0.242232024689352,-0.399920785487178,0.255061528058057,-0.0679828729320131,0.162935519696775,0.883960978522365,0.242232024689352,-0.399920785487178
18,2.03435616009073,0.464753982875995,-0.980286255973699,-1.16714548598947,0.425942591127169,0.7099681952386,0.0129706966907382,0.135118368946445,0.50805534132756,-0.0366844093844234,0.923191491454523,0.382585577634715,0.00326598272395241,0.0849397679472736,0.53672460236772,-0.0366844093844234,0.923191491454523,0.382585577634715
19,-1.29495380985663,1.79894250833139,-1.10243164143145,-0.816095309411914,0.338934284453064,-2.4863396934676,0.0742323971661401,-0.428554843487088,0.127663794591768,-0.0579113235488032,-0.68471971177844,-0.726502026774101,0.0607310997008944,-0.371696152181831,0.123327414787316,-0.0579113235488032,-0.68471971177844,-0.726502026774101
20,2.07584089899081,0.418491412770753,-1.75148536765471,0.498101302694558,0.00858806489393316,0.174788894831991,0.0960374945045377,-0.177907747151585,0.704419989286061,-0.0797724153415157,0.135793205638393,0.987520413486744,0.142017342807928,-0.200237077372503,0.675762449931078,-0.0797724153415157,0.135793205638393,0.987520413486744
21,-0.569617331024471,2.32993234868165,-1.87641040457249,0.4922417835558,0.927115673945901,-0.95704250247804,0.475034651299132,-0.217006143074562,0.0735352863170775,0.463141382826953,0.152300222655171,-0.873100625181498,0.499763777222651,-0.217463444939274,0.126660244727069,0.463141382826953,0.152300222655171,-0.873100625181498
22,1.47705055464183,2.38285819256775,-2.26038204564546,-1.12979882253798,-0.186663795595061,1.05880497697145,0.0297368445928704,0.665120716526762,0.317629919703215,-0.0748954024723809,0.996195926484232,0.0445460968517236,0.0291531232982419,0.62791873067571,0.362903217773803,-0.0748954024723809,0.996195926484232,0.0445460968517236
23,0.74316388215824,2.07861640586266,-2.53936571889545,-1.22469707031977,0.579538413399613,1.932506394545,0.450005638176022,0.280532189965384,0.558064419202597,0.945724146605105,0.16938951713388,0.277331985196799,0.416075850722602,0.23581083353858,0.574880179747768,0.945724146605105,0.16938951713388,0.277331985196799
24,0.105802401103217,1.90174963647426,-1.20713234631365,0.76171930358751,-0.958768952938221,-0.0407705504225708,0.501528910126965,-0.0542114301623494,0.287879843530835,0.864928335595072,-0.476216459850601,0.158482988525896,0.453521022213226,-0.0567586102510046,0.321387373604803,0.864928335595072,-0.476216459850601,0.158482988525896
25,-1.27270596221676,1.1104671970818,-1.22315882258009,0.803577872105996,-0.192577022251527,0.0430588160731307,0.0696617889376486,-0.312981778370795,0.524277684604915,0.143075639675198,-0.934777458550859,0.325146835009555,0.0272304967033483,-0.276203792410682,0.541039700833433,0.143075639675198,-0.934777458550859,0.325146835009555
26,-1.74843059140659,0.764125565449434,-1.85136461153602,-0.164992673835852,-0.57034047209407,-1.33803477967356,0.0427750082090956,0.134479374917376,0.767239455202745,0.116694218429477,0.148096839646975,0.982064043467488,0.0852096093317318,0.124636385829061,0.728042258959007,0.116694218429477,0.148096839646975,0.982064043467488
27,1.84529371115442,1.81343115606635,-0.283705100459055,0.3893802032781,-0.547420989129611,-2.24645831685695,-0.0360963793555455,0.262578634125197,-0.00441441487547997,0.0311220600167208,0.618421992461029,-0.785229683991153,-0.0770463270097523,0.222162569754718,0.00670509626120963,0.0311220600167208,0.618421992461029,-0.785229683991153
28,0.218485247930909,1.407916507476,-0.883657156564118,0.85552755707114,-0.220871073952319,0.381020531148299,0.396908475368715,0.0567162360017982,0.268240231597691,0.958207780089595,0.0433292304338935,-0.282772749687408,0.370450189788204,0.0121110504170211,0.295522763428292,0.958207780089595,0.0433292304338935,-0.282772749687408
29,-1.387406312169,2.8234118530279,-1.31741443141899,-0.737849205001776,-0.594809542713207,2.5599513987645,0.151935891619931,-0.418656510888234,-0.204619582339255,0.468236577337608,-0.457559494650388,-0.755905957443414,0.0946489105609449,-0.40688444494839,-0.200929018065962,0.468236577337608,-0.457559494650388,-0.755905957443414
30,0.892626717457399,2.15744839121008,-0.967603447787792,0.919923058064821,0.176711144699867,0.0182567151813799,0.217807305326911,0.314293497259203,-0.0470423596619117,0.110180984416048,0.359675046337179,-0.926549519300215,0.260663195904662,0.300195543351485,-0.00964422684216137,0.110180984416048,0.359675046337179,-0.926549519300215
31,1.7847334211505,1.26747463748383,-1.97320083252411,-0.720108031028347,0.888877140152938,1.1455203499568,0.0377129882570685,0.28200008022653,0.603179703122783,0.318138398006197,0.947221270006892,0.0394946244516968,0.0535699574950268,0.238239618003922,0.638782771426655,0.318138398006197,0.947221270006892,0.0394946244516968
